id,name,type,sweet,body,fruits,jellies,flowers,snacks,trees,plants,spices,smokes,forests,animals,rocks,bads,soft,hard,Climate
41494,Peace Pinot Noir Icewine 375ml 2002,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,Cfa
42816,"Santa Carolina, Late Harvest 500ml 2011",4,1,1,1,0,2,0,0,1,1,0,0,1,0,0,0,1,cfb
46210,"Vina Tarapaca, Late Harvest 2007",4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,Csc
47464,"Kendermann, Icewein 375ml 2007",4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,cfb
48083,"Errazuriz, Estate Cabernet Sauvignon Blanc 375ml 2007",4,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,Cfa
48903,"Mahler Besse, Cordon Blanc 2005",4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Cfa
50099,Madame de Rayne 2001,4,1,1,5,0,0,0,1,0,2,0,0,0,0,0,1,0,cfb
51352,"Sutter Home, Bubbly Pink Moscato NV",3,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,cfb
51961,Baile Bravo Sweet White NV,4,1,1,5,0,0,1,1,0,0,0,0,0,0,0,1,0,cfa
57444,Josef Drathen Koblenz Riesling Kabinett 2013,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Csc
57445,Josef Drathen Koblenz Riesling Spatlese 2012,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Cfa
43526,Franzia White 3000§¢ NV,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,csc
45313,Chateau Bel Air White 2006,4,2,1,5,0,0,0,0,1,1,2,0,0,0,0,0,0,Csc
45868,"Cossetti, Pinot Spumante NV",3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,csc
48205,Bernini Classic NV,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Cfa
48751,"Riunite, Bianco NV",4,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,cfb
50684,Bronco Coastal Ridge Moscato 2010,4,2,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,cfb
51364,Finest Steillage Mosel Riesling 2011,4,2,1,1,0,2,0,0,1,1,0,0,1,0,0,0,1,Csc
51769,"Ciel Beylgil Winery, White 2012",4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Csc
51911,I Love Moscato NV,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,BSh
53365,Morando Moscato d¡¯Asti  2013,4,2,1,2,0,2,0,0,0,1,0,0,0,0,0,0,1,BSk
56208,Love Holic Sweet Bianco NV,4,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,cfb
56974,Balthasar Ress Risling Spatlese 2012,4,2,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,csa
56975,Balthasar Ress Risling Trocken 2013,4,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,Cfa
58296,Morando Moscato d¡¯Asti 2014,4,2,1,2,0,0,0,2,0,2,0,0,0,0,0,1,1,cfb
43767,"Betrand Ambroise, Pommard 1er Cru 'Les Saussilles' 2002",1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,csc
43791,"Joseph Voillot, Pommard Epenots 1er Cru 1996",1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,csa
43800,"Joseph Voillot, Volnay Champans 1er Cru 1996",1,3,1,1,0,2,0,0,1,1,0,0,1,0,0,0,1,csa
51778,"Ciel Joheun Winery, RED 2011",1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,cfb
