id,new/old,type,sweet,body,fruits,nuts,flowers,snacks,trees,plants,spices,smokes,forests,animals,rocks,pure,abundunt,grace,fresh,atractive,power
57890,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49477,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54061,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54864,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60362,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57891,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60364,0,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60365,0,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60374,0,1,4,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
60361,0,1,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60363,0,1,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60368,0,1,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
56282,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60144,0,1,4,1,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
60360,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
60121,0,1,4,1,3,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0
58750,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56279,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60366,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60123,0,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
59896,0,1,4,1,3,0,2,0,2,0,0,1,1,0,0,0,1,0,0,0,0
45091,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60143,0,1,4,1,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
60367,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59902,0,1,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
60147,0,1,4,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
60152,0,1,4,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
59014,0,1,4,1,1,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0
54062,0,1,4,1,3,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0
60126,0,1,4,1,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
59901,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
60168,0,1,4,1,4,0,2,0,2,0,1,0,1,0,0,1,1,1,0,0,0
57281,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
59897,0,1,4,1,2,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0
54064,0,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57047,0,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
53392,0,1,4,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
60372,0,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
60373,0,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
59015,0,1,4,1,3,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0
59012,0,1,4,1,2,0,2,0,1,0,2,0,0,0,0,1,0,0,1,0,0
54869,0,1,4,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
58182,0,1,4,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0
60165,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
